year,t_primera_nat,t_dt_primera_nat,rain_primera_nat,wsi_primera_nat,spi_primera_nat,z_primera_nat,z_dt_primera_nat,t_postrera_nat,t_dt_postrera_nat,rain_postrera_nat,wsi_postrera_nat,spi_postrera_nat,z_postrera_nat,z_dt_postrera_nat,era5_nat,asi_nat,mvhi_nat,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated,bad_year
2001,26.313136904761905,-0.08418131517622486,84.3578630952381,96.3899081632653,-0.7608367346938776,-1.064637755102041,-0.8094372551093364,24.930777777777774,-0.3228334317138284,61.12574603174603,96.55822857142857,-1.2194571428571428,-0.5354928571428571,-0.33383968902732875,5.358143425,0.27,0.56,-15.569685357497956,0,0,0,0,0
2002,26.794809523809526,0.36087473762348693,93.03649404761904,86.88992857142857,-0.057071428571428565,-0.7280663265306123,-0.49413253487063324,25.349769841269843,0.05965038538555589,74.29984920634921,93.81445714285714,-0.3942,-0.31281428571428566,-0.12796554827505138,6.1703889499999995,0.22,0.52,-6.033769947223712,0,0,0,0,0
2003,26.415119047619047,-0.0554323048148943,99.73869047619048,94.9037244897959,0.18770408163265304,-0.06158673469387756,0.15108034863337608,25.62738888888889,0.30076118661192425,79.11144444444446,97.41788571428572,-0.012600000000000009,0.21924285714285713,0.3872871639057975,6.9386399,0.5,0.56,-8.994358985760096,0,0,0,0,0
2004,26.660761904761905,0.153593986080059,89.689125,96.491,-0.10826530612244897,-0.11246938775510205,0.0789309872394262,25.489873015873012,0.12673706720337158,78.87206349206349,96.91815714285714,-0.2490285714285714,0.1758142857142857,0.327054161800932,6.414518225,1.16,0.53,-7.282410679408177,0,0,0,0,0
2005,26.10749404761905,-0.4362904373107033,111.89717261904762,98.11981632653062,0.5283571428571429,0.36088265306122447,0.5310163197230274,24.99915079365079,-0.4004934014115304,99.92220634920635,96.50565714285713,1.5508857142857142,0.036257142857142856,0.1706925882674951,10.2427755,0.0,0.6,-0.6561176527713539,0,0,0,0,0
2006,26.34820238095238,-0.2321986702252778,114.86091666666667,98.7115,1.1430816326530613,0.34068367346938777,0.4895506317984653,25.407777777777778,-0.0283746636772259,79.82538095238094,99.04955714285714,-0.019842857142857138,0.4418285714285714,0.5594595861626297,7.3644352,0.0,0.62,3.3212169180525755,0,0,0,0,0
2007,26.161910714285714,-0.45510690313984803,80.91027976190477,97.95960204081632,-1.2529897959183673,-0.21876020408163263,-0.09115995408528048,24.721031746031745,-0.7516289418159366,89.2328492063492,96.57441428571428,0.7455142857142857,-0.30088571428571426,-0.2000591302279501,7.74680135,1.96,0.53,-5.346588063384379,0,0,0,0,0
2008,25.682327380952383,-0.9713068027210868,113.56154166666667,98.19780612244897,0.9585510204081632,-0.30543367346938777,-0.19910013180576097,24.591571428571427,-0.9175975056689339,87.28640476190476,96.16644285714285,0.6659857142857143,-0.5970500000000001,-0.5130278466185298,9.46423965,0.06,0.6,17.185719759889672,1,0,1,1,0
2009,26.741690476190477,0.051439726269102745,93.94447023809525,96.23951020408163,-0.09146938775510204,-0.04903571428571428,0.03603111904518717,26.169119047619045,0.623441866986006,71.66362698412699,97.78607142857143,-0.7713285714285715,0.1268,0.19401772270517612,6.307009725,0.08,0.57,4.309022462313066,0,0,0,0,1
2010,26.04064880952381,-0.6862185066454687,157.79555357142857,99.20309183673469,2.4209285714285715,-0.057464285714285704,0.006335839283890373,25.123420634920638,-0.45876479210508564,67.56606349206349,93.36667142857142,-0.2707571428571428,-0.8165857142857142,-0.7661724222568322,13.41485275,0.02,0.63,0.1220799802364598,0,0,0,0,0
