iso3,record,start,end,season,basis
AFG,CERF 2006 Rapid Response $19.5M,2005-11-01,2006-05-28,2006,overlap
AFG,CERF 2006 Rapid Response $12.8M,2005-11-01,2006-05-28,2006,overlap
AFG,CERF 2008 Underfunded Emergencies $4.6M (undated),2008-01-01,,2007,undated: last-season-before-impact
AFG,CERF 2008 Rapid Response $8.0M (undated),2008-01-01,,2007,undated: last-season-before-impact
AFG,CERF 2010 Underfunded Emergencies $11.0M (undated),2010-01-01,,2009,undated: last-season-before-impact
AFG,CERF 2018 Rapid Response $11.9M,2017-10-01,2018-05-28,2018,overlap
AFG,CERF 2021 Rapid Response $15.0M,2020-10-01,2021-05-28,2021,overlap
AFG,CERF 2025 Rapid Response $6.7M,2024-10-01,2025-05-28,2025,overlap
AFG,EM-DAT 2000-9186-AFG (2580000 affected),2000-05-01,2002-12-28,2000,last-season-before-impact
AFG,EM-DAT 2006-9570-AFG (1900000 affected),2006-07-01,2006-12-28,2006,last-season-before-impact
AFG,EM-DAT 2008-9475-AFG (280000 affected),2008-10-01,2008-10-28,2008,last-season-before-impact
AFG,EM-DAT 2011-9312-AFG (1750000 affected),2011-01-01,2011-08-28,2010,last-season-before-impact
AFG,EM-DAT 2018-9278-AFG (13500000 affected),2018-04-01,2019-07-28,2018,last-season-before-impact
AFG,EM-DAT 2021-9116-AFG (11000000 affected),2021-01-01,2023-05-28,2020,last-season-before-impact
BFA,CERF 2006 Underfunded Emergencies $2.0M (undated),2006-01-01,,2005,undated: last-season-before-impact
BFA,CERF 2007 Underfunded Emergencies $0.9M (undated),2007-01-01,,2006,undated: last-season-before-impact
BFA,CERF 2008 Underfunded Emergencies $3.4M (undated),2008-01-01,,2007,undated: last-season-before-impact
BFA,CERF 2008 Rapid Response $2.0M (undated),2008-01-01,,2007,undated: last-season-before-impact
BFA,CERF 2009 Underfunded Emergencies $2.0M (undated),2009-01-01,,2008,undated: last-season-before-impact
BFA,CERF 2012 Rapid Response $9.2M,2011-06-01,2011-09-28,2011,overlap
BFA,CERF 2014 Underfunded Emergencies $3.9M (undated),2014-01-01,,2013,undated: last-season-before-impact
BFA,CERF 2018 Rapid Response $9.0M,2017-06-01,2017-09-28,2017,overlap
BFA,EM-DAT 2001-9044-BFA (n/a affected),2001-04-01,2001-12-28,2000,last-season-before-impact
