,faostat,impact,bad_year,fdw_all,fdw_aoi,gdhy
t_dt,0.133,0.572,0.673,0.017,-0.012,0.006
z_dt,0.02,0.533,0.637,0.003,0.019,0.023
asi,0.145,0.554,0.704,0.026,0.001,0.02
mvhi,0.132,0.584,0.747,0.036,0.015,0.005
rain,0.062,0.623,0.78,0.015,-0.004,0.011
era5,0.09,0.639,0.758,,,
spi,0.093,0.614,0.762,0.014,-0.004,0.014
wsi,0.091,0.556,0.637,0.019,0.008,-0.001
t_dt+asi,0.19,0.559,0.69,0.037,-0.012,
t_dt+mvhi,0.173,0.582,0.736,0.041,0.001,0.013
t_dt+z_dt,0.13,0.553,0.649,0.021,0.01,0.024
t_dt+rain,0.132,0.613,0.768,0.022,-0.012,0.019
