iso3,scope,n,r2_t_dt,r2_z_dt,r2_rain,r2_era5,r2_wsi,r2_spi,r2_asi,r2_mvhi,loo_t_dt,loo_z_dt,loo_rain,loo_era5,loo_wsi,loo_spi,loo_asi,loo_mvhi,auc_t_dt,auc_z_dt,auc_rain,auc_era5,auc_wsi,auc_spi,auc_asi,auc_mvhi,auc_production,auc_temp+biomass (sum),n_impact
AFG,aoi,24,0.419,0.292,0.418,0.518,0.439,0.53,0.603,0.542,0.302,0.171,0.322,0.442,0.329,0.451,0.537,0.461,0.722,0.62,0.583,0.639,0.602,0.556,0.653,0.644,0.657,0.704,6
AFG,nat,24,0.496,0.006,0.381,0.453,0.468,0.531,0.611,0.583,0.377,-0.173,0.284,0.343,0.378,0.454,0.544,0.508,0.722,0.343,0.565,0.62,0.611,0.657,0.63,0.602,0.657,0.537,6
BFA,aoi,24,0.271,0.034,0.072,0.153,0.102,0.087,0.094,0.21,0.179,-0.101,-0.083,0.012,-0.033,-0.042,-3.095,0.068,0.747,0.621,0.632,0.726,0.558,0.484,0.632,0.589,0.716,0.705,5
BFA,nat,24,0.319,0.022,0.194,0.189,0.03,0.18,0.223,0.307,0.23,-0.151,0.011,0.049,-0.231,0.043,0.091,0.171,0.747,0.505,0.737,0.737,0.421,0.674,0.6,0.611,0.716,0.632,5
ETH,aoi,24,0.024,0.029,0.001,0.014,0.029,0.007,0.024,0.004,-0.189,-0.151,-0.162,-0.153,-0.139,-0.158,-0.117,-0.174,0.6,0.393,0.496,0.607,0.541,0.496,0.437,0.433,0.489,0.496,15
ETH,nat,24,0.018,0.028,0.0,0.022,0.031,0.004,0.046,0.018,-0.187,-0.195,-0.156,-0.149,-0.145,-0.157,-0.132,-0.223,0.622,0.393,0.496,0.696,0.541,0.489,0.407,0.407,0.489,0.556,15
KEN,aoi,24,0.126,0.161,0.265,0.316,0.192,0.239,,,-0.009,0.022,0.136,0.179,0.035,0.118,,,0.58,0.413,0.497,0.462,0.469,0.49,,,0.622,0.448,13
KEN,nat,24,0.131,0.113,0.269,0.341,0.164,0.211,0.182,0.23,-0.009,-0.053,0.143,0.198,-0.035,0.083,0.042,0.1,0.573,0.392,0.483,0.469,0.462,0.462,0.441,0.444,0.622,0.462,13
GTM,aoi,24,0.067,0.004,0.05,0.05,0.003,0.052,0.179,0.211,-0.125,-0.17,-0.142,-0.14,-0.143,-0.148,0.056,0.077,0.244,0.546,0.605,0.697,0.647,0.681,0.504,0.58,0.261,0.319,7
GTM,nat,24,0.071,0.001,0.076,0.061,0.02,0.102,0.245,0.214,-0.141,-0.141,-0.124,-0.107,-0.185,-0.081,0.13,0.065,0.294,0.538,0.639,0.697,0.462,0.613,0.353,0.487,0.261,0.403,7
HND,aoi,24,0.0,0.0,0.014,0.01,0.003,0.001,0.032,0.009,-0.178,-0.209,-0.15,-0.157,-0.158,-0.202,-0.275,-0.196,0.237,0.578,0.637,0.733,0.526,0.637,0.693,0.696,0.556,0.4,9
HND,nat,24,0.004,0.137,0.036,0.055,0.08,0.042,0.01,0.019,-0.159,0.011,-0.12,-0.093,-0.064,-0.142,-0.204,-0.158,0.111,0.481,0.667,0.681,0.474,0.63,0.681,0.711,0.556,0.311,9
SLV,nat,24,0.067,0.073,0.034,0.003,0.132,0.042,0.076,0.022,-0.092,-0.094,-0.124,-0.157,-0.184,-0.1,-2.663,-0.115,0.675,0.5,0.713,0.75,0.675,0.662,0.6,0.606,0.537,0.525,4
MRT,aoi,24,0.551,0.361,0.425,0.48,0.397,0.466,0.253,0.457,0.481,0.207,0.268,0.42,0.243,0.319,-0.301,0.383,0.586,0.555,0.633,0.461,0.539,0.594,0.531,0.57,0.586,0.547,8
MRT,nat,24,0.599,0.485,0.484,0.613,0.555,0.54,0.254,0.483,0.539,0.388,0.376,0.547,0.474,0.431,-1.029,0.412,0.555,0.648,0.617,0.547,0.531,0.602,0.578,0.586,0.586,0.625,8
NER,nat,24,0.232,0.034,0.014,0.188,0.16,0.037,0.148,0.115,0.11,-0.122,-0.155,-0.704,0.039,-0.129,0.037,-0.07,0.733,0.726,0.622,0.57,0.652,0.644,0.648,0.615,0.63,0.733,9
TCD,aoi,24,0.143,0.166,0.024,0.031,0.154,0.122,0.147,0.185,-0.027,-0.033,-0.288,-0.641,-0.127,-0.121,-0.001,-0.059,0.758,0.747,0.726,0.779,0.642,0.705,0.811,0.674,0.6,0.737,5
TCD,nat,24,0.13,0.177,0.013,0.023,0.207,0.132,0.097,0.156,-0.036,-0.034,-0.255,-0.638,0.015,-0.11,-0.08,-0.083,0.8,0.716,0.632,0.758,0.674,0.705,0.589,0.689,0.6,0.768,5
